path,kind,tracked/untracked/generated,current thesis role,category,evidence,recommended action,risk if removed,notes
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/results.csv,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/results.png,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/train_batch0.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/train_batch1.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/train_batch2.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/val_batch0_labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/val_batch0_pred.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/val_batch1_labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/val_batch1_pred.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/val_batch2_labels.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/perception_models/warehouse_occ_light_yolo11n_seg_smoke_gpu/ultralytics_run/val_batch2_pred.jpg,file,tracked,training-output artifact or training diagnostics image,"Tracked Artifact, Not Source",bulky trainer output stored under source tree,externalize or untrack; keep only essential provenance if needed,low,
src/experiments/data/visibility_gp/README.md,file,tracked,documentation for packaged legacy GP artifacts,Legacy Compatibility,README explicitly says these artifacts are older and noncanonical,keep only as compatibility note or archive it with artifacts,low,
src/experiments/data/visibility_gp/warehouse_occ_light_empirical_visibility_gp.npz,file,tracked,packaged legacy GP visibility artifact,"Tracked Artifact, Not Source","world_profiles still points here by default, but active backbone uses logs/visibility_comparison/current_gp","replace defaults, then archive or externalize packaged artifacts",medium,
src/experiments/data/visibility_gp/warehouse_open_shelves_empirical_visibility_gp.npz,file,tracked,packaged legacy GP visibility artifact,"Tracked Artifact, Not Source","world_profiles still points here by default, but active backbone uses logs/visibility_comparison/current_gp","replace defaults, then archive or externalize packaged artifacts",medium,
src/experiments/experiments/__init__.py,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/experiments/experiments/core/__init__.py,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/experiments/experiments/core/manifest.py,file,tracked,run-directory and manifest helper layer for experiment outputs,Paper-Core,experiment logging and artifact resolution depend on it,keep,medium,
src/experiments/experiments/core/tasks.py,file,tracked,task loading and selection helper,Paper-Core,launch/config surface depends on task resolution,keep,medium,
src/experiments/experiments/core/visibility_capture.py,file,tracked,small constant module for retained sweep-capture path,Legacy Compatibility,only referenced by retained driving-sweep capture node,archive together with sweep path if teleport capture is final,low,
src/experiments/experiments/core/visibility_launch_common.py,file,tracked,shared launch assembly for runtime and capture paths,Paper-Core but Simplify,"active launches depend on it, and it now hard-fails outside the paper YOLO detector path",keep; continue simplifying launch assembly,high,
src/experiments/experiments/core/world_profiles.py,file,tracked,world-profile loading and asset resolution helper,Paper-Core,launch/config surface depends on world profile resolution,keep,medium,
src/experiments/experiments/nodes/__init__.py,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/experiments/experiments/nodes/experiment_logger.py,file,tracked,core run logger and manifest writer for current evidence trail,Paper-Core but Simplify,"representative run evidence, evaluation scripts, and current paper all depend on its outputs",keep; split logging core from legacy compatibility columns and extra diagnostics,high,
src/experiments/experiments/nodes/goal_marker_node.py,file,tracked,visual marker helper for RViz/visual inspection,Possibly Irrelevant,"useful for demos, not required for paper logic or logged comparison",keep only if you still use RViz visual markers,low,
src/experiments/experiments/nodes/goal_mission_node.py,file,tracked,goal publisher for active runtime launch,Paper-Core,planner runtime requires current goal publication,keep,medium,
src/experiments/experiments/nodes/visibility_sweep_controller_node.py,file,tracked,retained driving-sweep capture controller,Legacy Compatibility,capture now defaults to teleport/grid sampling; docs mark sweep as optional/retained,archive or remove after confirming sweep mode is abandoned,low,
src/experiments/launch/warehouse_primary_comparison.launch.py,file,tracked,primary thesis-facing launch entry point,Paper-Core,main launch now defaults to the YOLO detector path and paper comparison planners,keep,high,
src/experiments/launch/warehouse_visibility_agent.launch.py,file,tracked,secondary diagnostic launch for retained EFE variants,Legacy Compatibility,docs describe it as retained and non-primary,archive or isolate behind clearly secondary surface,low,
src/experiments/launch/warehouse_visibility_capture.launch.py,file,tracked,offline capture launch for GP fitting,Paper-Core,current capture pipeline uses the YOLO detector path,keep; narrow to teleport capture + current detector story,medium,
src/experiments/package.xml,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/experiments/resource/experiments,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/experiments/setup.cfg,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/experiments/setup.py,file,tracked,ROS/python package plumbing for active experiments package,Paper-Core,required to build and run active package,keep,high,
src/perception/README.md,file,tracked,package guide for runtime detector surface,Paper-Core,README centers the YOLO runtime detector surface,keep,low,
src/perception/launch/tf_static.launch.py,file,tracked,camera/odom static TF launch used by active runtime,Paper-Core,experiments build_shared_nodes launches it,keep,medium,
src/perception/package.xml,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/perception/perception/__init__.py,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/perception/perception/core/__init__.py,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/perception/perception/core/detection_diagnostics.py,file,tracked,shared schema/encoding for detection diagnostics,Paper-Core,"YOLO node, state node, planner node, and logger all rely on this contract",keep,high,
src/perception/perception/core/ros_image.py,file,tracked,ROS image conversion helper for runtime inference,Paper-Core,YOLO runtime node depends on it,keep,medium,
src/perception/perception/core/yolo_selection.py,file,tracked,selection logic for runtime YOLO candidate and pixel source,Paper-Core,current detector output semantics depend on it,keep,high,
src/perception/perception/nodes/__init__.py,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/perception/perception/nodes/yolo_robot_detector_node.py,file,tracked,active runtime detector node for current thesis path,Paper-Core,thesis report + launch surface + representative run all depend on this node,keep,high,
src/perception/resource/perception,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/perception/setup.cfg,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/perception/setup.py,file,tracked,ROS/python package plumbing for active perception package,Paper-Core,required to build and run active package,keep,high,
src/planning/README.md,file,tracked,planning package guide,Docs Drift / Story Drift,README references nonexistent gp_visibility_helpers and understates actual central casadi_efe role,update to current file set and current method math,medium,
src/planning/package.xml,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/planning/__init__.py,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/planning/core/__init__.py,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/planning/core/casadi_efe.py,file,tracked,symbolic EFE objective builder for active planner,Paper-Core but Simplify,"core method file, but numerics/utilities are more custom and dense than a paper-worthy minimal core",keep; refactor for readability and stronger invariants,high,
src/planning/planning/core/dynamics.py,file,tracked,shared unicycle dynamics helpers for planner and tests,Paper-Core,base_planner + rollout + tests depend on it,keep,medium,
src/planning/planning/core/efe_utils.py,file,tracked,numpy-side EFE math utilities used by planner runtime,Paper-Core,base_planner and node logic import core helpers from here,keep,medium,
src/planning/planning/core/nogo_cost.py,file,tracked,no-go and collision-cost support for current planner objective,Paper-Core,representative run used use_nogo_cost=true,keep,medium,
src/planning/planning/core/rollout.py,file,tracked,shared rollout helper for planner evaluation,Paper-Core,base_planner evaluate_rollout_controls depends on it,keep,medium,
src/planning/planning/core/visibility_gp_map.py,file,tracked,runtime loader/interpolator for current GP artifact,Paper-Core but Simplify,current thesis path depends on artifact loading; signature still hashes path identity rather than true content hash,keep; simplify reproducibility contract,high,
src/planning/planning/nodes/__init__.py,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/planning/nodes/efe_agent_node.py,file,tracked,thin runtime entry point wrapping the planner node,Paper-Core,launches use efe_agent as the executable entry point,keep,medium,
src/planning/planning/nodes/unicycle_planner_node.py,file,tracked,"ROS runtime wrapper connecting state, correction, planning, and publishing",Paper-Core but Simplify,"active runtime depends on it, but hybrid correction/planning logic is monolithic","keep; split measurement update, planning, and publishing concerns",high,
src/planning/planning/planners/__init__.py,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/planning/planners/base_planner.py,file,tracked,main planner logic where current thesis method actually lives,Paper-Core but Simplify,"current paper claim depends on this file, but it is monolithic and still retains secondary-mode complexity",keep; refactor into smaller configs/components,high,
src/planning/resource/planning,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/setup.cfg,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/setup.py,file,tracked,ROS/python package plumbing for active planning package,Paper-Core,required to build and run active planner package,keep,high,
src/planning/test/test_visibility_gp_map.py,file,tracked,unit test for GP artifact loading/interpolation path,Paper-Core,covers one core planner dependency,keep,low,
src/sim/README.md,file,tracked,sim package guide for plant/infrastructure role,Paper-Core,README matches infrastructure role of current thesis setup,keep,low,
src/sim/gazebo_worlds/worlds/warehouse_occ_light.world.sdf,file,tracked,primary benchmark world used in current thesis path,Paper-Core,"current launches, logs, and thesis report all use this world",keep,high,
src/sim/gazebo_worlds/worlds/warehouse_open_shelves.world.sdf,file,tracked,secondary support world outside current single-world paper path,Legacy Compatibility,sim README labels it secondary; current paper uses warehouse_occ_light only,archive or keep clearly secondary,low,
src/sim/gazebo_worlds/worlds/world.config,file,tracked,Gazebo world package metadata,Paper-Core,needed by Gazebo world packaging,keep,medium,
src/sim/launch/bringup_sim.launch.py,file,tracked,sim bringup/robot description launch support for active runtime,Paper-Core,experiments launch path depends on these,keep,high,
src/sim/launch/gazebo.launch.py,file,tracked,sim bringup/robot description launch support for active runtime,Paper-Core,experiments launch path depends on these,keep,high,
src/sim/launch/robot_description.launch.py,file,tracked,sim bringup/robot description launch support for active runtime,Paper-Core,experiments launch path depends on these,keep,high,
src/sim/models/external_camera/model.config,file,tracked,fixed external camera simulation asset,Paper-Core,current thesis setup is built around this external camera,keep,high,
src/sim/models/external_camera/model.sdf,file,tracked,fixed external camera simulation asset,Paper-Core,current thesis setup is built around this external camera,keep,high,
src/sim/package.xml,file,tracked,package plumbing for active sim package,Paper-Core,required to build and run simulator package,keep,high,
src/sim/resource/sim,file,tracked,package plumbing for active sim package,Paper-Core,required to build and run simulator package,keep,high,
src/sim/robot_description/CMakeLists.txt,file,tracked,robot description asset/build support for active burger robot,"Tracked Artifact, Not Source","sim runtime needs these assets, but they are infrastructure rather than thesis logic",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/burger_base.dae,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/burger_base.stl,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/r200.dae,file,tracked,alternate TurtleBot asset not used by current burger runtime,Possibly Irrelevant,current robot_description.launch.py uses turtlebot3_burger only,remove if standardizing on burger-only assets,medium,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/r200.stl,file,tracked,alternate TurtleBot asset not used by current burger runtime,Possibly Irrelevant,current robot_description.launch.py uses turtlebot3_burger only,remove if standardizing on burger-only assets,medium,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/waffle_base.dae,file,tracked,alternate TurtleBot asset not used by current burger runtime,Possibly Irrelevant,current robot_description.launch.py uses turtlebot3_burger only,remove if standardizing on burger-only assets,medium,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/waffle_base.stl,file,tracked,alternate TurtleBot asset not used by current burger runtime,Possibly Irrelevant,current robot_description.launch.py uses turtlebot3_burger only,remove if standardizing on burger-only assets,medium,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/waffle_pi_base.dae,file,tracked,alternate TurtleBot asset not used by current burger runtime,Possibly Irrelevant,current robot_description.launch.py uses turtlebot3_burger only,remove if standardizing on burger-only assets,medium,
src/sim/robot_description/meshes/turtlebot3_description/meshes/bases/waffle_pi_base.stl,file,tracked,alternate TurtleBot asset not used by current burger runtime,Possibly Irrelevant,current robot_description.launch.py uses turtlebot3_burger only,remove if standardizing on burger-only assets,medium,
src/sim/robot_description/meshes/turtlebot3_description/meshes/sensors/lds.dae,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/sensors/lds.stl,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/wheels/left_tire.stl,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/wheels/right_tire.stl,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/wheels/tire.dae,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/meshes/wheels/tire.stl,file,tracked,mesh asset required by burger robot description,"Tracked Artifact, Not Source","sim runtime needs these geometry assets, but they are infrastructure",keep as infrastructure,high,
src/sim/robot_description/meshes/turtlebot3_description/model.config,file,tracked,robot description asset/build support for active burger robot,"Tracked Artifact, Not Source","sim runtime needs these assets, but they are infrastructure rather than thesis logic",keep as infrastructure,high,
src/sim/robot_description/package.xml,file,tracked,robot description asset/build support for active burger robot,"Tracked Artifact, Not Source","sim runtime needs these assets, but they are infrastructure rather than thesis logic",keep as infrastructure,high,
src/sim/robot_description/urdf/common_properties.urdf.xacro,file,tracked,robot description asset/build support for active burger robot,"Tracked Artifact, Not Source","sim runtime needs these assets, but they are infrastructure rather than thesis logic",keep as infrastructure,high,
src/sim/robot_description/urdf/turtlebot3.urdf.xacro,file,tracked,robot description asset/build support for active burger robot,"Tracked Artifact, Not Source","sim runtime needs these assets, but they are infrastructure rather than thesis logic",keep as infrastructure,high,
src/sim/robot_description/urdf/turtlebot3_burger.urdf.xacro,file,tracked,robot description asset/build support for active burger robot,"Tracked Artifact, Not Source","sim runtime needs these assets, but they are infrastructure rather than thesis logic",keep as infrastructure,high,
src/sim/robot_description/urdf/turtlebot3_waffle_pi.urdf.xacro,file,tracked,alternate robot model not used by current burger runtime,Possibly Irrelevant,robot_description.launch.py hardcodes burger model,remove if standardizing on burger-only sim assets,medium,
src/sim/setup.cfg,file,tracked,package plumbing for active sim package,Paper-Core,required to build and run simulator package,keep,high,
src/sim/setup.py,file,tracked,package plumbing for active sim package,Paper-Core,required to build and run simulator package,keep,high,
src/sim/sim/__init__.py,file,tracked,package plumbing for active sim package,Paper-Core,required to build and run simulator package,keep,high,
src/sim/sim/reset_world.py,file,tracked,sim startup/runtime helper used by launches,Paper-Core,active launches use wait_for_odom and related helpers,keep,medium,
src/sim/sim/wait_for_clock.py,file,tracked,sim startup/runtime helper used by launches,Paper-Core,active launches use wait_for_odom and related helpers,keep,medium,
src/sim/sim/wait_for_odom.py,file,tracked,sim startup/runtime helper used by launches,Paper-Core,active launches use wait_for_odom and related helpers,keep,medium,
src/state/README.md,file,tracked,package guide for hybrid state-estimation path,Paper-Core,README matches current camera xy + odom theta story,keep,low,
src/state/package.xml,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/resource/state,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/setup.cfg,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/setup.py,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/state/__init__.py,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/state/core/__init__.py,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/state/core/noise.py,file,tracked,covariance helper for planner-facing state estimate,Paper-Core,pixel_to_bev state path depends on it,keep,medium,
src/state/state/core/pixel_to_bev.py,file,tracked,geometric pixel-to-BEV conversion helper,Paper-Core,current hybrid state estimator depends on it,keep,high,
src/state/state/nodes/__init__.py,file,tracked,package plumbing for active state package,Paper-Core,required to build and run active package,keep,high,
src/state/state/nodes/pixel_to_bev_state_node.py,file,tracked,"runtime hybrid state-estimation node (camera x,y + odom theta)",Paper-Core but Simplify,"current thesis path depends on it, but trust/fallback logic is denser than necessary for paper-grade readability",keep; separate geometry conversion from trust/fallback policy,high,
src/unav_common/README.md,file,tracked,package guide for shared geometry/camera helpers,Paper-Core,README matches support role of common helpers,keep,low,
src/unav_common/package.xml,file,tracked,package plumbing for active shared helper package,Paper-Core,required to build active packages,keep,high,
src/unav_common/resource/unav_common,file,tracked,package plumbing for active shared helper package,Paper-Core,required to build active packages,keep,high,
src/unav_common/setup.cfg,file,tracked,package plumbing for active shared helper package,Paper-Core,required to build active packages,keep,high,
src/unav_common/setup.py,file,tracked,package plumbing for active shared helper package,Paper-Core,required to build active packages,keep,high,
src/unav_common/unav_common/__init__.py,file,tracked,package plumbing for active shared helper package,Paper-Core,required to build active packages,keep,high,
src/unav_common/unav_common/camera_model.py,file,tracked,shared helper used by active runtime/capture/logging code,Paper-Core,multiple active packages import these helpers,keep,medium,
src/unav_common/unav_common/geometry.py,file,tracked,shared helper used by active runtime/capture/logging code,Paper-Core,multiple active packages import these helpers,keep,medium,
src/unav_common/unav_common/manifest.py,file,tracked,shared helper used by active runtime/capture/logging code,Paper-Core,multiple active packages import these helpers,keep,medium,
src/unav_common/unav_common/occlusion_geometry.py,file,tracked,shared helper used by active runtime/capture/logging code,Paper-Core,multiple active packages import these helpers,keep,medium,
tests/perception/test_analyze_dataset_robustness.py,file,tracked,test for optional detector-training helpers,Possibly Irrelevant,covers optional training scripts rather than current paper runtime,remove with training helpers if detector prep leaves repo,low,
tests/perception/test_dataset_split_utils.py,file,tracked,test for optional detector-training helpers,Possibly Irrelevant,covers optional training scripts rather than current paper runtime,remove with training helpers if detector prep leaves repo,low,
tests/visibility_comparison/test_dynamics_jacobian.py,file,tracked,targeted test covering current math/perception helper behavior,Paper-Core,tests cover current active helper logic used by core pipeline,keep,low,
tests/visibility_comparison/test_run_config_hash_and_filters.py,file,tracked,test for comparison-script config hygiene,Paper-Core but Simplify,"useful for current comparison tooling, but not central runtime math",keep,low,
tests/visibility_comparison/test_yolo_calibration.py,file,tracked,targeted test covering current math/perception helper behavior,Paper-Core,tests cover current active helper logic used by core pipeline,keep,low,
tests/visibility_comparison/test_yolo_selection.py,file,tracked,targeted test covering current math/perception helper behavior,Paper-Core,tests cover current active helper logic used by core pipeline,keep,low,
