ID	Scenario	Expected invariant	Evidence and test command	Actual result	Responsible module	Severity	Required repair or explicit accepted limitation
M57	S1-S10	Manifest and caches attest exact executed source, transitive models/calibration/world/route before use	C13 source-import/hash/cache probes; C13-07,C13-08,C13-12; C12 frozen artifacts; C14 world identity	FAIL closure: checkout hash can differ from imported installed code and files can change after hashing; path-only caches accept replacement; protocol omits logger/launch/detector/transitive assets. Selected frozen pixels/model are exact within their narrower contract	13 provenance/cache; 12 artifacts; 14 assets; all module owners	P1	Resolve imported paths and hash opened bytes once; complete transitive source/config/model/calibration/world/route closure; content-address caches and outputs. New manifest for new evidence, never in-place repair of old runs.
M58	S10	Campaign ledger and monitor preserve malformed, failed, incomplete and reasoned-refusal attempts	C13 ledger/monitor/selection probes; C13-09,C13-13; C10/C11 validators	FAIL: malformed ledger can become empty; in-place manifest/summary is observable; monitors and selection can conceal cells or choose latest-looking output	13 ledger/monitor; 10 logging; 11 reporting	P1/P2	Append-only atomic attempt ledger with recoverable journal and explicit terminal reason; selectors require exact registry identity and monitors display every expected cell.
M59	S1,S8,S9	The executed world, collision set, robot and physics engine match the frozen manifest and planning geometry	C14 asset_results/prop_geometry/world verification; S14-01,S14-07,S14-08	PARTIAL/FAIL: world and headless/rendered robot bytes match and generated shell/occluder prisms are exact. World says freeze V2 while profile says V1; server uses DART although SDF requests ODE; active included props are omitted and pallet-jack conservative disc clearance on selected plan is -0.02846 m	14 world/export; 13 manifest; 08/09 planning	P0 scene; P1 provenance	One exact resolved asset/collision/engine digest closure; export all collision-bearing includes and revalidate routes. Preserve old world evidence under its original identity.
M60	S1,S2,S3,S9	Odometry and transforms are finite, epoch-scoped, fresh and form one connected authoritative frame tree	C14 transport/native/callback TF probes; S14-02,S14-04,S14-06	FAIL: configured odometry_tf topic is silent while native /tf is active; joint states absent; competing base_link relations disconnect base_footprint. Readiness accepts duplicate old wrong-frame future data; encoder retains state through rewind and publishes NaN	14 transport/encoder; 01 motion; 13 wiring	P1	Correct live topics and one-parent TF ownership; strict finite frame/child/epoch/monotonic validation and coordinated encoder reset. Do not infer readiness from message count.
M61	S9	Clock reset/restart is a coordinated transaction that stops motion and clears every old-epoch state	C14 native reset and callback probes; S14-02; C2 reset fixtures	FAIL physically: reset succeeds and rewinds clock but retains robot pose, odometry integral and held drive target; robot keeps moving. Reset node also reports done on service failure	14 restart supervisor with 01-04,09,10,13 owners	P0	Fail-closed coordinated restart with actuator-zero acknowledgment, old-epoch drain, simulator respawn/reset validation, per-module state clear and fresh readiness barriers.
M62	S6,S8,S9	Silence or process loss reaches a final actuator timeout and startup/shutdown establish zero	C14 real bridge watchdog fixture; S14-03; C2 adapter fixtures	FAIL physically: frozen clock bridge lets robot move 0.17997 m/1.004 s; adapter death/restart with no input leaves DiffDrive target and moves 0.25122 m/1.428 s. Explicit zero stops it	14 final actuator/bridge; 03 command; 09 terminal	P0	Final actuator-side timeout on a clock that advances with physics, drive-target clear on publisher loss/reset, startup/shutdown zero and application acknowledgment.
M63	S8,S10	Contact liveness, exact physical collision and terminal mission outcome are distinct and epoch-linked	C14 clear/contact fixtures and logger callback cases; S14-05,S14-10,S14-12; T09-08; L10-11	PARTIAL transport/FAIL interpretation: clear fixture emits zero, forced collision emits 2500 exact named messages with four positions. Silence is ambiguous; substring matching false-positives/suppresses and old/zero-stamp events can terminate current run; observed 1 kHz contradicts declared 60 Hz	14 contact transport; 09 mission; 10 ledger	P1	Startup contact health/positive probe, exact entity IDs, source/receipt/epoch, deduplicated first/last event and terminal linkage. Keep no-contact, no-message and healthy-clear separate.
M64	S1	Camera sensor pose, optical frame, calibration and image/model identity are independently verifiable	C14 camera launch/SDF comparison; S14-09; C05/C12 active numerical equality	PARTIAL: active frozen images, NN and projection outputs match. Metadata leaves a 90-degree optical-frame convention ambiguity, so independent semantic validation is incomplete	14 sensor pose; 05 geometry; 12 calibration; 13 manifest	P2 validation gate	Bind sensor entity, optical frame convention, dimensions, intrinsics/distortion, map transform and calibration digest; verify against a known geometric target without refitting the active model.
M65	S1-S10	Later owner repairs retain their scoped contracts without being mistaken for full integration acceptance	C5 later_verification.json/later_component_tests.txt/later_sources.tar.gz	PASS scoped: 235 tests pass in 4.70 s for repaired acquisition, fusion, planner cache/correction validation, traffic/mission guard and clock throttle; source hashes did not drift during the packet. This does not exercise DDS, native motion, drain, contact or complete scenario chain	04,07,08,09,13,14 owners; 15 reconciliation	PASS scoped / acceptance still blocked	Retain exact later source archive and tests. Run the bounded simulator chain only after remaining P0/P1 deterministic contracts and terminal logging are repaired.
M66	S1,S2,S3,S5,S8	Implemented state/command repair packages still satisfy their desired invariants on the present working tree	C6 owner_repair_current_tests.txt and owner_repair_current_sources.sha256; 01/03 implementation reports	PASS scoped: 104 current-tree tests pass for immutable replay snapshot, envelope-only bootstrap, odometry/encoder chronology, stop-generation cancellation, shared age installation, runtime transactions, adapter watchdog and tracker guard. Missing-motion validity, belief/goal/epoch revision and final physical stop remain open	01 state; 03 commands; 15 revalidation	PASS scoped / acceptance still blocked	Retain source-bound desired-invariant tests and implementation notes. Complete the named cross-module contracts before simulator acceptance; do not credit these repairs to frozen historical runs.
